ID,Region,OrgSize,Tenure,R45a,R45b,R45c,R45d,R45e,R90a,R90b,R90c,R87a,R87b,R87c,R87d,R87e
145,NorthWest,7,1,3,4,3,2,1,3,5,4,5,5,3,3,5
146,NorthWest,4,4,1,3,1,2,2,3,4,5,4,4,5,4,5
147,NorthWest,4,11,4,4,4,2,1,4,5,5,4,3,3,3,5
148,NorthWest,7,15,1,4,3,3,2,3,4,3,5,5,5,3,5
149,NorthWest,4,18,3,4,2,1,1,3,4,4,4,4,5,4,6
150,NorthWest,8,4,3,3,3,2,2,4,5,5,5,4,4,4,5
151,NorthWest,4,33,1,2,1,1,1,3,3,3,4,5,5,3,5
152,NorthWest,7,11,3,1,3,3,2,4,5,5,5,4,3,3,5
153,NorthWest,5,3,2,4,4,2,2,3,5,3,5,5,5,4,5
154,NorthWest,4,24,1,1,1,2,2,3,4,4,5,5,5,5,6
155,NorthWest,8,5,2,4,2,1,2,3,4,4,4,3,3,2,3
156,NorthWest,8,34,1,1,1,1,1,4,5,4,4,3,3,4,4
157,NorthWest,8,1,1,2,1,2,2,3,3,3,5,5,5,5,6
158,NorthWest,7,20,3,4,3,3,3,3,5,3,4,3,4,4,5
159,NorthWest,4,26,3,4,3,3,2,3,4,5,4,3,5,3,5
160,NorthWest,4,6,2,1,2,3,1,4,4,4,4,3,4,5,4
161,NorthWest,8,5,2,4,2,2,1,4,5,5,5,5,3,5,4
162,NorthWest,8,9,1,2,3,1,2,4,5,5,5,5,3,2,5
163,NorthWest,4,3,4,2,2,3,2,4,5,5,4,3,5,4,5
164,NorthWest,4,14,4,2,2,1,1,3,4,4,5,5,5,5,4
165,NorthWest,7,3,1,2,1,1,1,4,5,4,5,5,3,3,3
166,NorthWest,7,26,1,1,1,2,1,4,5,5,6,6,6,6,6
167,NorthWest,4,3,4,4,4,2,2,4,5,5,4,4,3,3,3
168,NorthWest,7,10,1,3,4,3,3,3,3,5,4,3,3,5,4
169,NorthWest,5,21,4,4,4,3,3,3,4,3,5,4,3,2,3
170,NorthWest,8,1,4,4,2,2,1,4,5,4,5,5,4,2,5
171,NorthWest,4,2,1,4,2,1,1,3,3,3,5,5,6,5,5
172,NorthWest,4,6,1,1,1,1,3,4,5,4,5,5,5,5,5
173,NorthWest,6,8,2,1,1,3,3,4,4,4,5,6,6,5,5
174,NorthWest,7,28,2,2,1,1,1,4,4,4,4,3,3,2,3
175,NorthWest,6,14,2,3,2,1,1,4,5,5,5,5,4,3,5
176,NorthWest,4,5,1,2,4,2,2,3,3,3,5,5,5,2,4
177,NorthWest,4,22,1,4,1,2,1,4,5,5,4,5,4,2,4
178,NorthWest,7,1,1,3,1,1,1,4,5,5,5,5,5,5,3
179,NorthWest,6,21,2,4,3,3,2,4,4,4,5,5,3,2,3
180,NorthWest,6,17,1,2,1,1,1,4,4,4,4,4,3,4,3
181,NorthWest,4,5,1,2,1,1,2,5,4,5,5,5,5,5,3
182,NorthWest,6,12,3,4,4,3,3,4,3,5,5,6,6,5,5
183,NorthWest,4,7,2,1,1,2,2,4,4,5,5,5,5,5,5
184,NorthWest,8,22,1,4,2,1,1,3,3,2,4,3,3,4,5
185,NorthWest,8,4,3,4,4,3,2,5,5,5,4,3,3,2,5
186,NorthWest,8,11,3,4,2,1,2,4,4,5,4,4,4,4,5
187,NorthWest,4,27,2,2,2,2,2,4,4,5,4,4,4,4,5
188,NorthWest,7,1,2,3,1,1,1,4,4,3,4,5,4,3,5
189,NorthWest,4,17,2,2,2,1,1,5,5,5,3,5,3,4,3
190,NorthWest,7,1,4,2,1,2,3,4,4,4,5,5,5,3,5
191,NorthWest,4,22,4,4,2,3,3,3,4,4,5,3,4,2,4
192,NorthWest,4,2,2,3,1,1,1,5,5,5,4,4,3,4,4
193,NorthWest,4,22,4,2,3,2,1,3,3,3,5,3,5,2,3
194,NorthWest,8,2,3,4,2,1,1,3,4,5,4,3,3,5,4
195,NorthWest,4,30,3,3,4,1,2,5,5,5,5,3,3,4,5
196,NorthWest,4,3,2,4,1,2,1,5,5,5,5,3,3,2,5
197,NorthWest,8,5,4,2,2,3,1,5,4,5,5,4,4,4,5
198,NorthWest,7,1,1,3,1,1,1,4,3,4,5,5,5,3,6
199,NorthWest,5,19,4,2,2,2,1,4,3,4,3,3,5,3,5
200,NorthWest,5,22,1,3,1,1,1,4,5,4,4,5,4,5,3
201,NorthWest,5,40,4,2,2,2,1,4,4,4,3,4,3,5,4
202,NorthWest,4,5,4,4,4,1,2,5,5,5,5,3,4,3,4
203,NorthWest,6,37,2,3,3,1,2,3,3,2,4,5,4,4,4
204,NorthWest,8,18,2,2,1,2,1,5,4,5,3,4,4,5,5
205,NorthWest,7,1,1,4,3,1,1,3,4,5,5,4,4,4,4
206,NorthWest,8,8,3,4,2,2,1,4,4,5,5,3,3,2,5
207,NorthWest,4,4,2,1,1,1,2,3,3,4,4,3,5,5,5
208,NorthWest,8,37,2,2,2,3,3,4,5,5,5,5,5,4,6
209,NorthWest,4,5,4,4,4,2,1,4,4,4,4,4,3,4,4
210,NorthWest,4,38,2,2,1,2,2,4,3,4,3,3,3,4,5
211,NorthWest,8,12,2,4,1,3,1,3,4,4,3,5,5,4,5
212,NorthWest,7,2,2,4,3,1,2,3,4,4,4,4,5,4,6
213,NorthWest,8,5,3,3,4,1,1,3,4,3,4,3,3,3,3
214,NorthWest,6,21,2,4,3,1,2,3,3,5,5,5,3,5,4
215,NorthWest,4,17,1,1,1,1,1,4,4,4,5,6,5,5,4
216,NorthWest,8,6,1,3,4,3,2,3,4,3,4,5,3,5,4
217,NorthWest,4,18,4,4,4,3,3,4,5,5,4,4,4,3,6
218,NorthWest,4,3,2,1,1,3,1,3,5,4,5,6,6,6,3
219,NorthWest,8,10,1,2,1,3,1,3,3,2,4,3,3,5,4
220,NorthWest,6,6,2,2,3,3,1,4,4,3,5,5,6,5,5
221,NorthWest,5,13,2,4,3,3,2,4,5,5,6,6,6,6,4
222,NorthWest,4,1,4,2,1,2,1,5,5,5,5,3,4,5,5
223,NorthWest,7,6,3,4,3,3,2,4,4,2,5,4,4,2,5
224,NorthWest,4,25,2,3,3,3,2,5,5,5,5,4,4,3,6
225,NorthWest,4,6,3,2,1,2,1,4,4,4,5,5,5,5,3
226,NorthWest,8,18,2,2,1,1,1,3,3,4,5,5,3,3,4
227,NorthWest,6,10,2,3,1,2,1,5,3,5,4,4,3,4,4
228,NorthWest,4,6,2,3,1,1,2,4,4,4,3,5,5,3,4
229,NorthWest,8,25,3,4,4,2,1,4,3,4,6,6,6,5,5
230,NorthWest,6,15,2,3,1,1,1,4,4,4,4,3,5,4,5
231,NorthWest,4,18,4,1,2,3,1,4,5,5,3,4,4,4,3
232,NorthWest,4,11,1,3,3,3,2,4,4,4,4,3,5,4,6
233,NorthWest,6,6,2,3,3,3,3,5,5,5,5,5,5,5,6
234,NorthWest,8,2,2,1,3,1,1,4,4,3,6,5,4,3,3
235,NorthWest,8,1,2,3,2,3,2,3,4,4,5,4,5,5,4
236,NorthWest,4,9,2,5,2,2,1,4,5,5,5,5,4,5,3
237,NorthWest,4,19,3,3,3,1,1,4,5,5,5,5,6,5,5
238,NorthWest,6,3,3,3,2,1,1,3,3,3,5,4,3,2,3
239,NorthWest,4,20,1,2,1,1,1,5,4,4,6,6,6,5,3
240,NorthWest,8,5,2,2,3,2,1,3,4,3,3,3,3,3,5
241,NorthWest,7,3,1,2,2,1,2,3,2,4,5,4,5,2,4
242,NorthWest,4,1,3,4,3,1,1,3,4,2,4,4,5,2,5
243,NorthWest,8,24,4,4,3,3,3,5,5,5,4,4,4,4,5
244,NorthWest,7,3,3,3,2,2,1,3,3,3,4,3,5,2,4
245,NorthWest,8,7,4,3,4,2,3,4,5,5,5,3,5,4,5
246,NorthWest,4,33,1,2,3,2,2,5,4,5,3,4,3,4,4
247,NorthWest,5,10,1,1,2,1,1,5,4,4,3,5,4,5,3
248,NorthWest,7,22,1,4,1,1,1,4,4,4,5,5,4,5,3
249,NorthWest,8,9,2,2,2,2,2,3,4,2,6,6,5,5,5
250,NorthWest,7,19,3,1,3,1,1,4,4,4,5,5,4,5,5
251,NorthWest,7,1,1,4,2,1,1,3,3,4,5,5,5,5,5
252,NorthWest,4,6,4,4,3,2,2,3,4,5,4,4,3,2,3
253,NorthWest,7,9,2,2,3,1,2,3,3,4,3,4,5,4,4
254,NorthWest,5,16,4,4,3,1,1,3,5,4,6,5,4,3,5
255,NorthWest,4,4,4,4,3,1,2,5,5,5,6,4,5,5,4
256,NorthWest,6,18,4,4,3,2,2,3,5,4,6,5,3,3,5
257,NorthWest,5,2,1,3,1,1,1,3,4,3,4,3,5,5,4
258,NorthWest,7,6,1,1,1,3,1,5,3,4,3,4,4,4,6
259,NorthWest,8,9,2,3,1,1,1,3,5,4,3,4,3,2,4
260,NorthWest,6,18,4,2,2,1,2,4,4,5,6,6,6,6,6
261,NorthWest,6,22,1,3,2,1,2,4,5,4,5,5,3,4,4
262,NorthWest,4,3,4,3,1,3,2,5,5,5,3,5,5,5,4
263,NorthWest,7,8,4,2,2,2,2,3,4,5,6,6,5,4,5
264,NorthWest,6,1,2,4,3,1,1,5,4,4,3,5,4,3,5
265,NorthWest,7,4,1,4,3,2,1,4,5,5,4,5,5,5,6
266,NorthWest,4,14,3,2,4,1,1,5,4,3,5,3,6,3,6
267,NorthWest,4,19,3,2,1,3,2,3,3,3,6,3,5,5,6
268,NorthWest,4,23,4,3,2,1,1,5,5,5,6,4,5,3,6
269,NorthWest,6,4,2,3,1,2,2,4,5,4,6,6,5,6,4
270,NorthWest,4,7,2,3,3,1,2,3,2,2,3,4,6,5,3
271,NorthWest,5,21,1,4,3,3,2,3,3,4,4,4,3,3,3
272,NorthWest,5,3,1,3,1,1,3,4,4,3,5,5,6,6,5
273,NorthWest,6,29,3,3,2,2,1,4,4,4,6,4,3,3,4
274,NorthWest,6,25,1,3,4,2,2,5,4,5,6,6,6,5,5
275,NorthWest,6,3,4,3,1,2,1,4,4,5,3,3,3,4,3
276,NorthWest,7,3,2,2,3,2,3,4,4,5,5,4,5,3,6
277,NorthWest,7,2,3,4,1,2,1,3,3,4,5,3,6,4,5
278,NorthWest,5,20,1,3,1,1,1,3,2,2,5,5,4,4,5
279,NorthWest,4,2,2,4,2,1,1,3,5,4,6,5,3,5,4
280,NorthWest,4,4,3,2,3,3,1,4,5,3,3,3,6,4,3
281,NorthWest,6,3,2,2,2,2,1,3,4,4,3,3,3,2,3
282,NorthWest,8,3,2,3,1,2,2,4,5,5,6,5,5,4,6
283,NorthWest,4,5,1,2,2,2,1,3,3,4,6,5,4,2,5
284,NorthWest,4,28,2,4,3,2,1,4,4,5,5,4,3,3,4
285,NorthWest,4,3,4,2,2,2,1,4,5,5,5,4,4,4,4
286,NorthWest,8,28,1,2,1,1,1,3,3,4,5,5,3,5,5
287,NorthWest,6,5,2,5,1,1,1,4,3,5,6,6,5,3,3
288,NorthWest,4,2,3,4,1,1,1,3,4,4,4,5,5,2,4
289,NorthWest,4,24,1,2,1,1,1,4,4,3,6,6,6,6,5
290,NorthWest,7,7,4,5,3,2,3,4,4,5,5,4,6,4,6
291,NorthWest,4,7,2,3,1,2,1,3,4,3,5,4,4,3,4
292,NorthWest,4,20,2,4,1,3,2,4,4,5,5,4,6,2,5
293,NorthWest,8,4,1,2,1,2,2,3,4,4,5,6,3,5,4
294,NorthWest,5,9,1,1,2,2,2,3,3,3,3,3,4,5,4
295,NorthWest,4,4,5,2,1,2,2,3,4,3,3,4,3,5,4
296,NorthWest,4,17,4,5,2,2,1,3,3,2,5,3,3,5,4
297,NorthWest,4,24,3,3,4,3,3,4,5,5,5,4,4,3,6
298,NorthWest,4,3,3,4,3,2,2,5,4,4,6,5,4,2,4
299,NorthWest,4,27,1,2,1,1,1,3,4,4,3,3,4,5,5
300,NorthWest,5,4,2,3,1,2,1,3,2,4,3,2,2,2,2
301,NorthWest,4,13,2,3,1,2,3,3,5,3,5,6,3,4,4
302,NorthWest,7,35,1,2,1,1,1,3,4,3,6,4,6,6,6
303,NorthWest,4,13,2,2,2,1,2,4,4,5,5,3,4,5,5
304,NorthWest,6,3,2,2,1,2,2,4,5,5,6,5,3,2,5
305,NorthWest,5,4,3,2,1,2,2,3,5,5,4,6,4,4,6
306,NorthWest,6,1,2,3,2,2,1,4,4,3,5,6,4,6,3
307,NorthWest,7,5,5,3,4,2,2,4,5,5,5,3,5,3,6
308,NorthWest,5,9,2,3,3,4,3,3,3,4,5,5,3,6,5
309,NorthWest,7,19,2,4,2,3,1,3,4,4,6,6,5,6,4
310,NorthWest,4,15,1,2,2,2,1,3,4,5,4,5,2,4,6
311,NorthWest,8,1,3,3,3,2,1,3,2,4,6,5,5,2,5
312,NorthWest,7,11,3,3,1,1,2,4,4,5,5,3,4,5,3
313,NorthWest,7,15,1,2,2,2,1,3,2,4,5,5,2,3,3
314,NorthWest,4,13,2,3,3,2,1,4,5,4,4,3,2,2,5
315,NorthWest,5,7,1,3,2,2,2,4,5,5,4,6,3,6,4
316,NorthWest,7,12,2,3,2,2,2,4,5,4,4,3,3,5,4
317,NorthWest,7,8,2,1,1,2,1,5,4,4,4,4,5,5,5
318,NorthWest,8,1,2,2,3,2,1,3,4,3,5,4,5,4,6
319,NorthWest,7,4,1,4,3,2,1,4,5,4,6,6,4,4,4
320,NorthWest,8,7,1,3,1,1,1,3,3,4,5,5,5,3,3
321,NorthWest,8,24,1,2,2,3,2,4,4,4,5,5,5,4,3
322,NorthWest,7,3,1,2,2,3,2,4,5,4,5,4,3,3,6
323,NorthWest,6,6,2,2,2,1,1,5,5,4,6,6,3,4,5
324,NorthWest,4,12,3,3,2,3,3,4,5,4,5,4,5,3,5
325,NorthWest,4,24,2,4,1,1,1,4,4,3,5,5,2,5,5
326,NorthWest,7,7,2,2,2,1,2,2,3,4,5,4,6,3,3
327,NorthWest,4,1,1,2,3,3,3,4,5,4,4,5,6,5,4
328,NorthWest,4,9,2,4,2,1,1,3,2,2,3,4,6,5,4
329,NorthWest,5,9,2,5,2,1,1,4,5,3,5,3,4,4,5
330,NorthWest,6,30,4,4,4,4,3,4,5,4,5,5,5,2,3
331,NorthWest,6,20,2,4,4,2,2,5,5,5,5,5,6,2,6
332,NorthWest,8,31,5,3,3,4,1,3,4,3,5,4,5,5,6
333,NorthWest,7,1,2,1,1,1,1,3,4,3,3,5,4,2,4
334,NorthWest,8,4,2,2,3,2,1,3,4,4,4,5,4,2,6
335,NorthWest,6,12,2,2,4,2,3,4,5,4,6,5,3,2,4
336,NorthWest,8,1,3,4,3,2,2,4,4,3,4,3,5,6,4
337,NorthWest,8,10,2,4,4,3,3,4,4,4,5,5,3,2,4
338,NorthWest,5,11,1,4,4,2,2,4,4,4,4,6,3,6,4
339,NorthWest,4,2,2,2,3,3,1,3,4,4,5,3,5,4,6
340,NorthWest,8,18,5,4,4,1,1,4,5,4,4,3,4,4,3
341,NorthWest,5,1,2,4,2,3,1,3,3,4,4,5,2,4,5
342,NorthWest,4,29,3,2,4,2,1,3,4,5,4,4,6,5,6
343,NorthWest,8,8,3,4,4,2,1,5,5,5,3,5,4,3,3
344,NorthWest,6,13,5,3,3,1,1,3,4,2,4,5,3,5,5
345,NorthWest,7,3,2,3,2,1,1,3,3,4,5,3,4,3,3
346,NorthWest,4,13,2,2,3,2,3,3,4,4,6,5,5,3,3
347,NorthWest,4,10,2,2,2,1,1,5,5,5,6,5,5,6,3
348,NorthWest,4,13,2,3,2,1,2,4,4,4,6,6,5,6,5
349,NorthWest,7,17,1,4,3,2,2,4,5,5,3,3,4,2,6
350,NorthWest,5,5,2,3,1,3,3,3,3,5,4,5,3,2,5
351,NorthWest,8,7,4,2,1,1,1,3,3,4,5,3,5,6,6
352,NorthWest,8,3,1,4,3,1,2,4,4,5,6,6,5,3,6
353,NorthWest,7,6,4,3,4,2,3,4,4,5,4,4,3,4,4
354,NorthWest,8,20,2,4,2,1,1,4,5,5,6,6,2,2,4
355,NorthWest,8,3,2,2,3,1,2,4,4,5,6,6,2,4,4
356,NorthWest,5,4,2,1,1,1,1,5,4,4,3,5,6,6,5
357,NorthWest,4,6,1,3,4,3,1,5,4,5,5,3,4,5,4
358,NorthWest,8,17,1,2,1,1,1,4,3,4,4,6,4,2,4
359,NorthWest,8,17,4,3,3,3,4,5,4,5,6,4,2,3,3
360,NorthWest,8,24,2,3,4,2,1,5,4,3,5,5,5,4,4
361,NorthWest,7,13,1,2,1,1,1,4,3,4,3,2,2,2,6
362,NorthWest,8,5,4,3,3,2,2,5,5,5,5,5,5,6,6
363,NorthWest,4,3,4,2,3,3,2,4,5,4,5,3,6,4,5
364,NorthWest,7,10,2,4,3,3,4,5,5,4,6,6,5,3,5
